date,CIN,name,petrol,diesel,gas,electro,hybrid,plugInHybrid,others
01.01.2022,08121,"Heilbronn, kreisfreie Stadt",44885.0,20066,478,783,1561,1114,10
01.01.2022,08125,"Heilbronn, Landkreis",157155.0,74841,1511,3552,9728,3501,47
01.01.2022,08126,Hohenlohekreis,45448.0,34247,552,995,2967,844,9
01.01.2022,08127,"Schwäbisch Hall, Landkreis",77236.0,49896,1055,1725,2194,1358,22
01.01.2022,08128,Main-Tauber-Kreis,53488.0,33324,643,895,1886,848,23
01.01.2022,08135,"Heidenheim, Landkreis",54333.0,28068,608,832,1501,782,14
01.01.2022,08136,Ostalbkreis,128183.0,70674,1287,2475,4066,2521,16
01.01.2022,08211,"Baden-Baden, kreisfreie Stadt",21796.0,11591,145,673,1115,545,7
01.01.2022,08212,"Karlsruhe, kreisfreie Stadt",88179.0,43479,1132,2542,4027,2673,46
01.01.2022,08215,"Karlsruhe, Landkreis",186135.0,84814,1831,4155,5947,3016,46
01.01.2022,08216,"Rastatt, Landkreis",97833.0,47281,892,2264,3085,1863,21
01.01.2022,08221,"Heidelberg, kreisfreie Stadt",38752.0,18572,376,894,1818,917,32
01.01.2022,08222,"Mannheim, kreisfreie Stadt",98949.0,46245,890,1944,4505,2619,20
01.01.2022,08225,Neckar-Odenwald-Kreis,59126.0,32966,622,1089,1752,967,15
01.01.2022,08226,Rhein-Neckar-Kreis,231861.0,103505,2063,5463,7649,6510,62
01.01.2022,08231,"Pforzheim, kreisfreie Stadt",41683.0,18264,371,847,1338,921,9
01.01.2022,08235,"Calw, Landkreis",65716.0,36344,738,1897,2071,1140,21
01.01.2022,08236,Enzkreis,90103.0,38306,913,2090,2341,1527,28
01.01.2022,08237,"Freudenstadt, Landkreis",46471.0,28638,474,958,1625,883,11
01.01.2022,08311,"Freiburg im Breisgau, kreisfreie Stadt",57237.0,32511,732,1640,2044,1242,30
01.01.2022,08315,"Breisgau-Hochschwarzwald, Landkreis",101327.0,53229,940,2638,2944,1445,45
01.01.2022,08316,"Emmendingen, Landkreis",66847.0,32288,627,1920,1818,877,15
01.01.2022,08317,Ortenaukreis,175369.0,91064,1437,4002,4400,2506,45
01.01.2022,08325,"Rottweil, Landkreis",57973.0,33583,513,1087,1772,1101,16
01.01.2022,08326,Schwarzwald-Baar-Kreis,83594.0,43315,795,1636,3181,1674,36
01.01.2022,08327,"Tuttlingen, Landkreis",54839.0,31135,468,1217,2106,1343,18
01.01.2022,08335,"Konstanz, Landkreis",108339.0,46872,1246,2794,3565,1688,34
01.01.2022,08336,"Lörrach, Landkreis",91247.0,40339,476,2214,3225,1303,34
01.01.2022,08337,"Waldshut, Landkreis",70150.0,34607,406,1701,1897,987,30
01.01.2022,08415,"Reutlingen, Landkreis",118185.0,55066,1323,2474,3335,2415,28
01.01.2022,08416,"Tübingen, Landkreis",80975.0,40755,1226,1887,2396,1638,31
01.01.2022,08417,Zollernalbkreis,83207.0,41148,881,1456,2444,1501,19
01.01.2022,08421,"Ulm, kreisfreie Stadt",39799.0,23434,477,1082,1806,1077,14
01.01.2022,08425,Alb-Donau-Kreis,80243.0,46117,794,1648,1995,1191,21
01.01.2022,08426,"Biberach, Landkreis",78877.0,50511,715,1979,1960,1049,15
01.01.2022,08435,Bodenseekreis,88550.0,44269,838,2131,3256,2184,26
01.01.2022,08436,"Ravensburg, Landkreis",109812.0,66497,1057,2743,2741,1854,33
01.01.2022,08437,"Sigmaringen, Landkreis",52566.0,31972,637,968,1858,779,14
01.01.2022,09161,"Ingolstadt, kreisfreie Stadt",54044.0,27638,540,3252,7860,3573,9
01.01.2022,09162,"München, kreisfreie Stadt",430158.0,229533,3508,15529,46370,19598,130
01.01.2022,09163,"Rosenheim, kreisfreie Stadt",21499.0,12415,203,468,775,373,8
01.01.2022,09171,"Altötting, Landkreis",44262.0,25298,363,872,1410,638,8
01.01.2022,09172,"Berchtesgadener Land, Landkreis",41115.0,22360,282,801,1408,502,11
01.01.2022,09173,"Bad Tölz-Wolfratshausen, Landkreis",48064.0,29846,414,997,1874,833,18
01.01.2022,09174,"Dachau, Landkreis",58858.0,31294,572,1304,2162,1015,16
01.01.2022,09175,"Ebersberg, Landkreis",52509.0,29268,429,1484,1984,1244,11
01.01.2022,09176,"Eichstätt, Landkreis",51113.0,31398,536,1009,1460,676,9
01.01.2022,09177,"Erding, Landkreis",53068.0,33225,455,1281,2256,889,15
01.01.2022,09178,"Freising, Landkreis",63121.0,41512,725,1836,2423,1097,15
01.01.2022,09179,"Fürstenfeldbruck, Landkreis",79940.0,38483,733,1789,2829,1342,23
01.01.2022,09180,"Garmisch-Partenkirchen, Landkreis",32663.0,17946,287,659,1144,499,13
01.01.2022,09181,"Landsberg am Lech, Landkreis",48468.0,30399,587,1642,1782,833,15
01.01.2022,09182,"Miesbach, Landkreis",39547.0,23920,245,950,1779,879,14
01.01.2022,09183,"Mühldorf am Inn, Landkreis",45289.0,27486,359,988,1683,606,9
01.01.2022,09184,"München, Landkreis",135044.0,80537,989,5241,9996,6870,41
01.01.2022,09185,"Neuburg-Schrobenhausen, Landkreis",39449.0,24398,424,711,1255,522,7
01.01.2022,09186,"Pfaffenhofen an der Ilm, Landkreis",48902.0,32819,668,1214,1558,700,9
01.01.2022,09187,"Rosenheim, Landkreis",105149.0,61388,900,2841,3403,1650,20
01.01.2022,09188,"Starnberg, Landkreis",53818.0,29095,411,1999,2351,1471,11
01.01.2022,09189,"Traunstein, Landkreis",71793.0,42276,598,1702,2122,1023,19
01.01.2022,09190,"Weilheim-Schongau, Landkreis",54536.0,31476,554,1249,1457,785,8
01.01.2022,09261,"Landshut, kreisfreie Stadt",22790.0,13386,217,461,973,529,6
01.01.2022,09262,"Passau, kreisfreie Stadt",17772.0,9671,108,383,1008,488,7
01.01.2022,09263,"Straubing, kreisfreie Stadt",17131.0,9202,149,411,655,388,2
01.01.2022,09271,"Deggendorf, Landkreis",45938.0,30632,458,880,1442,674,5
01.01.2022,09272,"Freyung-Grafenau, Landkreis",31012.0,20631,192,449,1050,439,5
01.01.2022,09273,"Kelheim, Landkreis",46271.0,32445,578,959,1354,592,13
01.01.2022,09274,"Landshut, Landkreis",61618.0,44377,688,1458,2226,1141,45
01.01.2022,09275,"Passau, Landkreis",80809.0,44723,451,1506,2594,1157,33
01.01.2022,09276,"Regen, Landkreis",29574.0,19208,209,469,1122,374,5
01.01.2022,09277,"Rottal-Inn, Landkreis",49376.0,31701,416,928,1524,624,20
01.01.2022,09278,"Straubing-Bogen, Landkreis",40952.0,26726,390,717,1177,391,6
01.01.2022,09279,"Dingolfing-Landau, Landkreis",38632.0,28268,380,990,1754,566,4
01.01.2022,09361,"Amberg, kreisfreie Stadt",15941.0,7788,106,410,682,307,5
01.01.2022,09362,"Regensburg, kreisfreie Stadt",49148.0,27310,525,1367,2733,1359,23
01.01.2022,09363,"Weiden in der Oberpfalz, kreisfreie Stadt",16615.0,8385,166,283,560,381,9
01.01.2022,09371,"Amberg-Sulzbach, Landkreis",43307.0,25085,351,956,1060,615,12
01.01.2022,09372,"Cham, Landkreis",53634.0,33339,611,843,1318,579,16
01.01.2022,09373,"Neumarkt in der Oberpfalz, Landkreis",53417.0,33472,466,1110,1664,836,6
01.01.2022,09374,"Neustadt an der Waldnaab, Landkreis",39769.0,23487,373,656,964,571,11
01.01.2022,09375,"Regensburg, Landkreis",77862.0,44766,897,1626,2576,1188,25
01.01.2022,09376,"Schwandorf, Landkreis",59313.0,38995,669,990,1682,806,12
01.01.2022,09377,"Tirschenreuth, Landkreis",30738.0,16725,199,385,694,447,9
01.01.2022,09461,"Bamberg, kreisfreie Stadt",25143.0,13545,341,625,929,458,11
01.01.2022,09462,"Bayreuth, kreisfreie Stadt",25267.0,12472,193,611,1095,598,6
01.01.2022,09463,"Coburg, kreisfreie Stadt",16018.0,7661,144,371,608,265,7
01.01.2022,09464,"Hof, kreisfreie Stadt",17810.0,6662,115,303,580,324,6
01.01.2022,09471,"Bamberg, Landkreis",63127.0,35990,611,1190,1322,775,15
01.01.2022,09472,"Bayreuth, Landkreis",45316.0,24270,368,782,1115,511,10
01.01.2022,09473,"Coburg, Landkreis",39750.0,17346,423,688,961,473,8
01.01.2022,09474,"Forchheim, Landkreis",49979.0,25619,427,1020,1307,674,14
01.01.2022,09475,"Hof, Landkreis",42334.0,19354,392,611,1094,517,8
01.01.2022,09476,"Kronach, Landkreis",29900.0,14362,229,401,700,301,16
01.01.2022,09477,"Kulmbach, Landkreis",31728.0,16149,302,550,1083,425,10
01.01.2022,09478,"Lichtenfels, Landkreis",29083.0,14587,222,450,618,322,13
01.01.2022,09479,"Wunsiedel im Fichtelgebirge, Landkreis",31362.0,14177,215,429,891,407,14
01.01.2022,09561,"Ansbach, kreisfreie Stadt",15805.0,8383,207,319,624,313,2
01.01.2022,09562,"Erlangen, kreisfreie Stadt",35083.0,17637,333,815,1327,819,10
